name,total_runs
V Kohli,14059.0
KC Sangakkara,11618.0
RG Sharma,10948.0
MS Dhoni,10274.0
AB de Villiers,9435.0
TM Dilshan,9212.0
LRPL Taylor,8126.0
DPMD Jayawardene,8040.0
HM Amla,7834.0
Tamim Iqbal,7648.0
