name,economy
A Hewage,0.0
RV Uthappa,0.0
TJ Ramphoma,0.0
Mohammad Yousuf,0.0
C Kauripeke,0.0
AC Gilchrist,0.0
KOA Powell,0.0
A Lyth,0.0
M Terblanche,0.0
MS Sinclair,0.3333
